cve,links,cwe,cne,cvss2score
CVE-2018-20511,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=9824dfae5741275473a23a7ed5756c7b6efacc9d', 'https://github.com/torvalds/linux/commit/9824dfae5741275473a23a7ed5756c7b6efacc9d', 'https://lkml.org/lkml/2018/9/27/480']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,2.1
CVE-2018-17205,['https://github.com/openvswitch/ovs/commit/0befd1f3745055c32940f5faf9559be6a14395e6'],"('CWE-617', 'Reachable Assertion')",MITRE,5.0
CVE-2017-7866,['https://github.com/FFmpeg/FFmpeg/commit/e371f031b942d73e02c090170975561fabd5c264'],"('CWE-787', 'Out-of-bounds Write')",MITRE,7.5
CVE-2018-16393,['https://github.com/OpenSC/OpenSC/commit/360e95d45ac4123255a4c796db96337f332160ad'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,4.6
CVE-2017-5577,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=6b8ac63847bc2f958dd93c09edc941a0118992d9', 'http://www.openwall.com/lists/oss-security/2017/01/21/7', 'https://bugzilla.redhat.com/show_bug.cgi?id=1416437', 'https://github.com/torvalds/linux/commit/6b8ac63847bc2f958dd93c09edc941a0118992d9', 'https://lkml.org/lkml/2017/1/17/759']","('CWE-388', '7PK - Errors')",MITRE,4.9
CVE-2012-2779,[],"('NVD-CWE-Other', 'Insufficient Information')",Google Inc.,10.0
CVE-2019-16319,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=02ddd49885c6a09e936a76aceb726ed06539704a'],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,7.8
CVE-2014-5165,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=17a552666b50896a9b9dde8ee6a1052e7f9a622e'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,5.0
CVE-2011-2718,"['http://www.openwall.com/lists/oss-security/2011/07/25/4', 'http://www.openwall.com/lists/oss-security/2011/07/26/10', 'http://www.phpmyadmin.net/home_page/security/PMASA-2011-11.php', 'https://bugzilla.redhat.com/show_bug.cgi?id=725383']","('CWE-22', ""Improper Limitation of a Pathname to a Restricted Directory ('Path Traversal')"")","Red Hat, Inc.",6.0
CVE-2017-15126,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",9.3
CVE-2018-20178,['https://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1'],"('CWE-125', 'Out-of-bounds Read')",MITRE,5.0
CVE-2021-37660,['https://github.com/tensorflow/tensorflow/commit/e86605c0a336c088b638da02135ea6f9f6753618'],"('CWE-369', 'Divide By Zero')","GitHub, Inc.",2.1
CVE-2016-10071,"['http://www.openwall.com/lists/oss-security/2016/12/26/9', 'https://bugzilla.redhat.com/show_bug.cgi?id=1410513', 'https://github.com/ImageMagick/ImageMagick/commit/1bc1fd0ff8c555841c78829217ac81fa0598255d', 'https://github.com/ImageMagick/ImageMagick/commit/f3b483e8b054c50149912523b4773687e18afe25']","('CWE-125', 'Out-of-bounds Read')",MITRE,4.3
CVE-2013-0268,[],"('CWE-264', 'Permissions, Privileges, and Access Controls')","Red Hat, Inc.",6.2
CVE-2018-9271,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=5b0228945dc74ee82d2ab4a4e7af2bdfe7b75910'],"('CWE-772', 'Missing Release of Resource after Effective Lifetime')",MITRE,5.0
CVE-2019-19072,['https://github.com/torvalds/linux/commit/96c5c6e6a5b6db592acae039fed54b5c8844cd35'],"('CWE-401', 'Missing Release of Memory after Effective Lifetime')",MITRE,4.9
CVE-2022-29869,"['https://github.com/piastry/cifs-utils/commit/8acc963a2e7e9d63fe1f2e7f73f5a03f83d9c379', 'https://github.com/piastry/cifs-utils/pull/7']","('CWE-532', 'Insertion of Sensitive Information into Log File')",MITRE,4.3
CVE-2017-5601,['https://github.com/libarchive/libarchive/commit/98dcbbf0bf4854bf987557e55e55fff7abbf3ea9'],"('CWE-125', 'Out-of-bounds Read')",MITRE,5.0
CVE-2016-7798,"['http://www.openwall.com/lists/oss-security/2016/09/30/6', 'https://github.com/ruby/openssl/commit/8108e0a6db133f3375608303fdd2083eb5115062']","('CWE-326', 'Inadequate Encryption Strength')",MITRE,5.0
CVE-2016-7536,"['http://www.openwall.com/lists/oss-security/2016/09/22/2', 'https://github.com/ImageMagick/ImageMagick/commit/02dadf116124cfba35d7ebd9ced3e5ad0be0f176', 'https://github.com/ImageMagick/ImageMagick/commit/478cce544fdf1de882d78381768458f397964453', 'https://github.com/ImageMagick/ImageMagick/issues/130']","('CWE-20', 'Improper Input Validation')",Debian GNU/Linux,4.3
CVE-2022-3256,['https://github.com/vim/vim/commit/8ecfa2c56b4992c7f067b92488aa9acea5a454ad'],"('CWE-416', 'Use After Free')",huntr.dev,"['V31', 7.8, 'HIGH']"
CVE-2013-6367,['https://github.com/torvalds/linux/commit/b963a22e6d1a266a67e9eecc88134713fd54775c'],"('CWE-189', 'Numeric Errors')","Red Hat, Inc.",5.7
CVE-2017-7273,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=1ebb71143758f45dc0fa76e2f48429e13b16d110', 'https://github.com/torvalds/linux/commit/1ebb71143758f45dc0fa76e2f48429e13b16d110']","('NVD-CWE-Other', 'Other')",MITRE,4.6
CVE-2021-4187,['https://github.com/vim/vim/commit/4bf1006cae7e87259ccd5219128c3dba75774441'],"('CWE-416', 'Use After Free')",huntr.dev,6.8
CVE-2014-8713,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,5.0
CVE-2016-10065,"['http://www.openwall.com/lists/oss-security/2016/12/26/9', 'https://bugzilla.redhat.com/show_bug.cgi?id=1410482', 'https://github.com/ImageMagick/ImageMagick/commit/134463b926fa965571aa4febd61b810be5e7da05', 'https://github.com/ImageMagick/ImageMagick/issues/129']","('CWE-284', 'Improper Access Control')",MITRE,6.8
CVE-2022-2571,"['https://github.com/vim/vim/commit/a6f9e300161f4cb54713da22f65b261595e8e614', 'https://huntr.dev/bounties/2e5a1dc4-2dfb-4e5f-8c70-e1ede21f3571']","('CWE-122', 'Heap-based Buffer Overflow')",huntr.dev,"['V31', 7.8, 'HIGH']"
CVE-2015-7804,[],"('CWE-189', 'Numeric Errors')","Red Hat, Inc.",6.8
CVE-2022-23587,"['https://github.com/tensorflow/tensorflow/commit/0aaaae6eca5a7175a193696383f582f53adab23f', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-8jj7-5vxc-pg2q']","('CWE-190', 'Integer Overflow or Wraparound')","GitHub, Inc.",7.5
CVE-2020-25643,"['https://bugzilla.redhat.com/show_bug.cgi?id=1879981', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=66d42ed8b25b64eb63111a2b8582c5afc8bf1105']","('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",7.5
CVE-2019-9208,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=3d1b8004ed3a07422ca5d4e4ee8097150b934fd2'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,5.0
CVE-2018-17206,['https://github.com/openvswitch/ovs/commit/9237a63c47bd314b807cda0bd2216264e82edbe8'],"('CWE-125', 'Out-of-bounds Read')",MITRE,4.0
CVE-2021-30022,['https://github.com/gpac/gpac/commit/51cdb67ff7c5f1242ac58c5aa603ceaf1793b788'],"('CWE-190', 'Integer Overflow or Wraparound')",MITRE,4.3
CVE-2021-4216,['https://github.com/ArtifexSoftware/mupdf/commit/22c47acbd52949421f8c7cb46ea1556827d0fcbf'],"('CWE-369', 'Divide By Zero')","Red Hat, Inc.","['V31', 5.5, 'MEDIUM']"
CVE-2014-9050,['http://www.ubuntu.com/usn/USN-2423-1'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,5.0
CVE-2016-2156,[],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')","Red Hat, Inc.",4.0
CVE-2014-9652,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",MITRE,5.0
CVE-2019-9003,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=77f8269606bf95fcb232ee86f6da80886f1dfae8', 'https://github.com/torvalds/linux/commit/77f8269606bf95fcb232ee86f6da80886f1dfae8']","('CWE-416', 'Use After Free')",MITRE,7.8
CVE-2014-3479,"['https://bugs.php.net/bug.php?id=67411', 'https://github.com/file/file/commit/36fadd29849b8087af9f4586f89dbf74ea45be67']","('NVD-CWE-Other', 'Insufficient Information')","Red Hat, Inc.",4.3
CVE-2021-46225,['https://github.com/LoicMarechal/libMeshb/commit/8cd68c54e0647c0030ae4506a225ad4a2655c316'],"('CWE-120', ""Buffer Copy without Checking Size of Input ('Classic Buffer Overflow')"")",MITRE,4.3
CVE-2022-0711,['https://github.com/haproxy/haproxy/commit/bfb15ab34ead85f64cd6da0e9fb418c9cd14cee8'],"('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")","Red Hat, Inc.",5.0
CVE-2022-27223,['https://github.com/torvalds/linux/commit/7f14c7227f342d9932f9b918893c8814f86d2a0d'],"('CWE-129', 'Improper Validation of Array Index')",MITRE,6.5
CVE-2017-7746,"['https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=13576', 'https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=58e69cc769dea24b721abd8a29f9eedc11024b7e']","('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")",MITRE,5.0
CVE-2016-1245,['https://github.com/Quagga/quagga/commit/cfb1fae25f8c092e0d17073eaf7bd428ce1cd546'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')",Debian GNU/Linux,7.5
CVE-2019-19767,"['https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=4ea99936a1630f51fc3a2d61a58ec4a1c4b7d55a', 'https://github.com/torvalds/linux/commit/4ea99936a1630f51fc3a2d61a58ec4a1c4b7d55a']","('CWE-416', 'Use After Free')",MITRE,4.3
CVE-2019-5721,['https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=1c66174ec7aa19e2ddc79178cf59f15a654fc4fe'],"('CWE-416', 'Use After Free')",MITRE,4.3
CVE-2019-20386,['https://github.com/systemd/systemd/commit/b2774a3ae692113e1f47a336a6c09bac9cfb49ad'],"('CWE-401', 'Missing Release of Memory after Effective Lifetime')",MITRE,2.1
CVE-2011-2518,['https://github.com/torvalds/linux/commit/4e78c724d47e2342aa8fde61f6b8536f662f795f'],"('CWE-20', 'Improper Input Validation')","Red Hat, Inc.",4.9
CVE-2013-4512,"['https://github.com/torvalds/linux/commit/201f99f170df14ba52ea4c52847779042b7a623b', 'https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.12.bz2']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",4.7
CVE-2015-0206,[],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",5.0
CVE-2012-2100,[],"('CWE-189', 'Numeric Errors')","Red Hat, Inc.",7.1
CVE-2018-16658,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=8f3fafc9c2f0ece10832c25f7ffcb07c97a32ad4', 'https://github.com/torvalds/linux/commit/8f3fafc9c2f0ece10832c25f7ffcb07c97a32ad4']","('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,3.6
CVE-2017-5669,"['https://bugzilla.kernel.org/show_bug.cgi?id=192931', 'https://github.com/torvalds/linux/commit/95e91b831f87ac8e1f8ed50c14d709089b4e01b8', 'https://github.com/torvalds/linux/commit/e1d35d4dc7f089e6c9c080d556feedf9c706f0c7']","('NVD-CWE-Other', 'Insufficient Information')",MITRE,4.6
CVE-2022-1678,"['https://bugzilla.openanolis.cn/show_bug.cgi?id=61', 'https://github.com/torvalds/linux/commit/0a70f118475e037732557796accd0878a00fc25a', 'https://lore.kernel.org/all/20200602080425.93712-1-kerneljasonxing@gmail.com/']","('CWE-911', 'Improper Update of Reference Count')",OpenAnolis,5.0
CVE-2018-9988,"['https://github.com/ARMmbed/mbedtls/commit/027f84c69f4ef30c0693832a6c396ef19e563ca1', 'https://github.com/ARMmbed/mbedtls/commit/a1098f81c252b317ad34ea978aea2bc47760b215']","('CWE-125', 'Out-of-bounds Read')",MITRE,5.0
CVE-2015-1793,"['http://www.oracle.com/technetwork/security-advisory/cpuapr2016v3-2985753.html', 'http://www.oracle.com/technetwork/topics/security/cpujan2016-2367955.html', 'http://www.oracle.com/technetwork/topics/security/cpuoct2015-2367953.html']","('CWE-254', '7PK - Security Features')","Red Hat, Inc.",6.4
CVE-2021-22901,"['https://cert-portal.siemens.com/productcert/pdf/ssa-389290.pdf', 'https://curl.se/docs/CVE-2021-22901.html', 'https://github.com/curl/curl/commit/7f4a9a9b2a49547eae24d2e19bc5c346e9026479', 'https://www.oracle.com//security-alerts/cpujul2021.html', 'https://www.oracle.com/security-alerts/cpuapr2022.html', 'https://www.oracle.com/security-alerts/cpujan2022.html']","('CWE-416', 'Use After Free')",HackerOne,6.8
CVE-2022-23595,"['https://github.com/tensorflow/tensorflow/commit/e21af685e1828f7ca65038307df5cc06de4479e8', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fpcp-9h7m-ffpx']","('CWE-476', 'NULL Pointer Dereference')","GitHub, Inc.",4.0
CVE-2012-5116,['https://code.google.com/p/chromium/issues/detail?id=143761'],"('CWE-416', 'Use After Free')",Google Inc.,7.5
CVE-2013-3226,[],"('CWE-200', 'Exposure of Sensitive Information to an Unauthorized Actor')",MITRE,4.9
CVE-2019-20079,"['https://github.com/vim/vim/commit/ec66c41d84e574baf8009dbc0bd088d2bc5b2421', 'https://github.com/vim/vim/compare/v8.1.2135...v8.1.2136']","('CWE-416', 'Use After Free')",MITRE,6.8
CVE-2017-9059,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=c70422f760c120480fee4de6c38804c72aa26bc1', 'https://bugzilla.redhat.com/show_bug.cgi?id=1451386', 'https://github.com/torvalds/linux/commit/c70422f760c120480fee4de6c38804c72aa26bc1', 'https://www.spinics.net/lists/linux-nfs/msg63334.html']","('CWE-404', 'Improper Resource Shutdown or Release')",MITRE,4.9
CVE-2013-2174,['https://github.com/bagder/curl/commit/192c4f788d48f82c03e9cef40013f34370e90737'],"('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",6.8
CVE-2014-2063,['https://github.com/jenkinsci/jenkins/commit/16931bd7bf7560e26ef98328b8e95e803d0e90f6'],"('NVD-CWE-Other', 'Insufficient Information')",Debian GNU/Linux,7.5
CVE-2017-17805,"['http://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=ecaaab5649781c5a0effdaf298a925063020500e', 'https://github.com/torvalds/linux/commit/ecaaab5649781c5a0effdaf298a925063020500e']","('CWE-20', 'Improper Input Validation')",MITRE,7.2
CVE-2021-41099,"['https://github.com/redis/redis/commit/c6ad876774f3cc11e32681ea02a2eead00f2c521', 'https://www.oracle.com/security-alerts/cpuapr2022.html']","('CWE-680', 'Integer Overflow to Buffer Overflow')","GitHub, Inc.",6.0
CVE-2017-11143,"['http://openwall.com/lists/oss-security/2017/07/10/6', 'https://bugs.php.net/bug.php?id=74145', 'https://git.php.net/?p=php-src.git;a=commit;h=2aae60461c2ff7b7fbcdd194c789ac841d0747d7']","('CWE-416', 'Use After Free')",MITRE,5.0
CVE-2013-5634,"['https://github.com/torvalds/linux/commit/e8180dcaa8470ceca21109f143876fdcd9fe050a', 'https://www.kernel.org/pub/linux/kernel/v3.x/patch-3.10.bz2']","('CWE-399', 'Resource Management Errors')","Red Hat, Inc.",4.3
CVE-2021-38114,"['https://github.com/FFmpeg/FFmpeg/commit/7150f9575671f898382c370acae35f9087a30ba1', 'https://patchwork.ffmpeg.org/project/ffmpeg/patch/PAXP193MB12624C21AE412BE95BA4D4A4B6F09@PAXP193MB1262.EURP193.PROD.OUTLOOK.COM/']","('CWE-252', 'Unchecked Return Value')",MITRE,4.3
CVE-2016-9888,['https://github.com/GNOME/libgsf/commit/95a8351a75758cf10b3bf6abae0b6b461f90d9e5'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,4.3
CVE-2016-1904,[],"('CWE-189', 'Numeric Errors')",MITRE,7.5
CVE-2019-13302,"['https://github.com/ImageMagick/ImageMagick/commit/d5089971bd792311aaab5cb73460326d7ef7f32d', 'https://github.com/ImageMagick/ImageMagick/issues/1597']","('CWE-125', 'Out-of-bounds Read')",MITRE,6.8
CVE-2017-9350,"['https://bugs.wireshark.org/bugzilla/show_bug.cgi?id=13649', 'https://code.wireshark.org/review/gitweb?p=wireshark.git;a=commit;h=dbc7cb0bbdd501fa96e0cb98668f6d6bf17ac4e6']","('CWE-20', 'Improper Input Validation')",MITRE,7.8
CVE-2020-11683,['https://github.com/linux4sam/at91bootstrap/commit/7753914c9a622c245f3a3cf2af5e24b6a9904213'],"('CWE-203', 'Observable Discrepancy')",MITRE,4.6
CVE-2019-11498,['https://github.com/dbry/WavPack/commit/bc6cba3f552c44565f7f1e66dc1580189addb2b4'],"('CWE-824', 'Access of Uninitialized Pointer')",MITRE,4.3
CVE-2021-41212,"['https://github.com/tensorflow/tensorflow/commit/fa6b7782fbb14aa08d767bc799c531f5e1fb3bb8', 'https://github.com/tensorflow/tensorflow/security/advisories/GHSA-fr77-rrx3-cp7g']","('CWE-125', 'Out-of-bounds Read')","GitHub, Inc.",3.6
CVE-2017-14604,"['https://github.com/GNOME/nautilus/commit/1630f53481f445ada0a455e9979236d31a8d3bb0', 'https://github.com/GNOME/nautilus/commit/bc919205bf774f6af3fa7154506c46039af5a69b']","('CWE-20', 'Improper Input Validation')",MITRE,4.0
CVE-2020-15260,"['https://github.com/pjsip/pjproject/commit/67e46c1ac45ad784db5b9080f5ed8b133c122872', 'https://github.com/pjsip/pjproject/pull/2663', 'https://github.com/pjsip/pjproject/security/advisories/GHSA-8hcp-hm38-mfph']","('CWE-297', 'Improper Validation of Certificate with Host Mismatch')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-2548,['https://github.com/torvalds/linux/commit/b5a663aa426f4884c71cd8580adae73f33570f0d'],"('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2020-25641,"['https://bugzilla.redhat.com/show_bug.cgi?id=1881424', 'https://git.kernel.org/pub/scm/linux/kernel/git/torvalds/linux.git/commit/?id=7e24969022cbd61ddc586f14824fc205661bb124']","('CWE-835', ""Loop with Unreachable Exit Condition ('Infinite Loop')"")","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2021-3658,"['https://bugzilla.redhat.com/show_bug.cgi?id=1984728', 'https://git.kernel.org/pub/scm/bluetooth/bluez.git/commit/?id=b497b5942a8beb8f89ca1c359c54ad67ec843055', 'https://github.com/bluez/bluez/commit/b497b5942a8beb8f89ca1c359c54ad67ec843055', 'https://gitlab.gnome.org/GNOME/gnome-bluetooth/-/issues/89']","('CWE-863', 'Incorrect Authorization')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2015-7566,[],"('NVD-CWE-Other', 'Other')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2017-1000503,[],"('CWE-362', ""Concurrent Execution using Shared Resource with Improper Synchronization ('Race Condition')"")",MITRE,NVD-CVSS2-Other
CVE-2021-41204,[],"('CWE-824', 'Access of Uninitialized Pointer')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2022-3213,"['https://bugzilla.redhat.com/show_bug.cgi?id=2126824', 'https://github.com/ImageMagick/ImageMagick/commit/30ccf9a0da1f47161b5935a95be854fe84e6c2a2', 'https://github.com/ImageMagick/ImageMagick6/commit/1aea203eb36409ce6903b9e41fe7cb70030e8750']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2020-8428,"['https://git.kernel.org/cgit/linux/kernel/git/torvalds/linux.git/commit/?id=d0cb50185ae942b03c4327be322055d622dc79f6', 'https://github.com/torvalds/linux/commit/d0cb50185ae942b03c4327be322055d622dc79f6']","('CWE-416', 'Use After Free')",MITRE,NVD-CVSS2-Other
CVE-2022-35982,['https://github.com/tensorflow/tensorflow/commit/40adbe4dd15b582b0210dfbf40c243a62f5119fa'],"('CWE-20', 'Improper Input Validation')","GitHub, Inc.",NVD-CVSS2-Other
CVE-2016-5731,"['https://github.com/phpmyadmin/phpmyadmin/commit/418aeea3d83b0b6021bac311d849570acfc6e48c', 'https://github.com/phpmyadmin/phpmyadmin/commit/94cf3864254ffaf3a69e97d8fc454888368b94ab', 'https://www.phpmyadmin.net/security/PMASA-2016-24/']","('CWE-79', ""Improper Neutralization of Input During Web Page Generation ('Cross-site Scripting')"")",MITRE,NVD-CVSS2-Other
CVE-2014-0207,"['https://bugs.php.net/bug.php?id=67326', 'https://bugzilla.redhat.com/show_bug.cgi?id=1091842', 'https://github.com/file/file/commit/6d209c1c489457397a5763bca4b28e43aac90391']","('CWE-119', 'Improper Restriction of Operations within the Bounds of a Memory Buffer')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2016-2178,"['http://www.openwall.com/lists/oss-security/2016/06/08/2', 'http://www.oracle.com/technetwork/security-advisory/cpuapr2018-3678067.html', 'http://www.oracle.com/technetwork/security-advisory/cpujan2018-3236628.html', 'http://www.oracle.com/technetwork/security-advisory/cpujul2017-3236622.html', 'http://www.oracle.com/technetwork/security-advisory/cpuoct2016-2881722.html', 'http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html', 'https://bugzilla.redhat.com/show_bug.cgi?id=1343400', 'https://git.openssl.org/?p=openssl.git;a=commit;h=399944622df7bd81af62e67ea967c470534090e2']","('CWE-203', 'Observable Discrepancy')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2019-6799,['https://www.phpmyadmin.net/security/PMASA-2019-1/'],"('NVD-CWE-Other', 'Insufficient Information')",MITRE,NVD-CVSS2-Other
CVE-2017-9142,"['https://github.com/ImageMagick/ImageMagick/commit/f0232a2a45dfd003c1faf6079497895df3ab0ee1', 'https://github.com/ImageMagick/ImageMagick/issues/490']","('CWE-20', 'Improper Input Validation')",MITRE,NVD-CVSS2-Other
CVE-2020-12826,"['https://bugzilla.redhat.com/show_bug.cgi?id=1822077', 'https://github.com/torvalds/linux/commit/7395ea4e65c2a00d23185a3f63ad315756ba9cef', 'https://lists.openwall.net/linux-kernel/2020/03/24/1803', 'https://www.openwall.com/lists/kernel-hardening/2020/03/25/1']","('CWE-190', 'Integer Overflow or Wraparound')",MITRE,NVD-CVSS2-Other
CVE-2015-6817,"['http://www.openwall.com/lists/oss-security/2015/09/05/7', 'https://github.com/pgbouncer/pgbouncer/commit/7ca3e5279d05fceb1e8a043c6f5b6f58dea3ed38', 'https://github.com/pgbouncer/pgbouncer/issues/69', 'https://pgbouncer.github.io/2015/09/pgbouncer-1-6-1']","('CWE-287', 'Improper Authentication')",Debian GNU/Linux,NVD-CVSS2-Other
CVE-2019-20016,['https://github.com/hoene/libmysofa/commit/2e6fac6ab6156dae8e8c6f417741388084b70d6f'],"('CWE-787', 'Out-of-bounds Write')",MITRE,NVD-CVSS2-Other
CVE-2012-1016,['https://github.com/krb5/krb5/commit/db64ca25d661a47b996b4e2645998b5d7f0eb52c'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2013-1418,['https://github.com/krb5/krb5/commit/c2ccf4197f697c4ff143b8a786acdd875e70a89d'],"('CWE-476', 'NULL Pointer Dereference')",MITRE,NVD-CVSS2-Other
CVE-2018-8791,['https://github.com/rdesktop/rdesktop/commit/4dca546d04321a610c1835010b5dad85163b65e1'],"('CWE-126', 'Buffer Over-read')",Check Point Software Technologies Ltd.,NVD-CVSS2-Other
CVE-2014-0221,"['http://www.oracle.com/technetwork/security-advisory/cpuoct2017-3236626.html', 'https://bugzilla.redhat.com/show_bug.cgi?id=1103593', 'https://git.openssl.org/gitweb/?p=openssl.git;a=commit;h=d3152655d5319ce883c8e3ac4b99f8de4c59d846']","('NVD-CWE-Other', 'Insufficient Information')","Red Hat, Inc.",NVD-CVSS2-Other
CVE-2015-8543,[],"('NVD-CWE-Other', 'Other')",MITRE,NVD-CVSS2-Other
CVE-2019-20807,['https://github.com/vim/vim/commit/8c62a08faf89663e5633dc5036cd8695c80f1075'],"('CWE-78', ""Improper Neutralization of Special Elements used in an OS Command ('OS Command Injection')"")",MITRE,NVD-CVSS2-Other
