cve,owner,repo,commit_id
CVE-2016-8688,libarchive,libarchive,eec077f52bfa2d3f7103b4b74d52572ba8a15aca
CVE-2016-8689,libarchive,libarchive,7f17c791dcfd8c0416e2cd2485b19410e47ef126
CVE-2016-8740,apache,httpd,29c63b786ae028d82405421585e91283c8fa0da3
CVE-2016-9084,torvalds,linux,05692d7005a364add85c6e25a6c4447ce08f913a
CVE-2016-9298,ImageMagick,ImageMagick,3cbfb163cff9e5b8cdeace8312e9bfee810ed02b
CVE-2016-9392,mdadams,jasper,f7038068550fba0e41e1d0c355787f1dcd5bf330
CVE-2016-9573,szukw000,openjpeg,7b28bd2b723df6be09fe7791eba33147c1c47d0d
CVE-2016-9888,GNOME,libgsf,95a8351a75758cf10b3bf6abae0b6b461f90d9e5
CVE-2017-0375,torproject,tor,79b59a2dfcb68897ee89d98587d09e55f07e68d7
CVE-2017-0376,torproject,tor,56a7c5bc15e0447203a491c1ee37de9939ad1dcd
CVE-2017-1000369,Exim,exim,65e061b76867a9ea7aeeb535341b790b90ae6c21
CVE-2017-1000494,miniupnp,miniupnp,7aeb624b44f86d335841242ff427433190e7168a
CVE-2017-11176,torvalds,linux,f991af3daabaecff34684fd51fac80319d1baad1
CVE-2017-11664,Mindwerks,wildmidi,ad6d7cf88d6673167ca1f517248af9409a9f1be1
CVE-2017-11721,ioquake,ioq3,d2b1d124d4055c2fcbe5126863487c52fd58cca1
CVE-2017-12640,ImageMagick,ImageMagick,307fa45d512641fcd105f0d57ca50c1437cd1b81
CVE-2017-12665,ImageMagick,ImageMagick,c1b09bbec148f6ae11d0b686fdb89ac6dc0ab14e
CVE-2017-13146,ImageMagick,ImageMagick,79e5dbcdd1fc2f714f9bae548bc55d5073f3ed20
CVE-2017-14166,libarchive,libarchive,fa7438a0ff4033e4741c807394a9af6207940d71
CVE-2017-14171,FFmpeg,FFmpeg,c24bcb553650b91e9eff15ef6e54ca73de2453b7
CVE-2017-14172,ImageMagick,ImageMagick,bdbbb13f1fe9b7e2465502c500561720f7456aac
CVE-2017-14230,cyrusimap,cyrus-imapd,6bd33275368edfa71ae117de895488584678ac79
CVE-2017-15102,torvalds,linux,2fae9e5a7babada041e2e161699ade2447a01989
CVE-2017-15385,radare,radare2,21a6f570ba33fa9f52f1bba87f07acc4e8c178f4
CVE-2017-16525,torvalds,linux,bd998c2e0df0469707503023d50d46cf0b10c787
CVE-2017-16528,torvalds,linux,fc27fe7e8deef2f37cba3f2be2d52b6ca5eb9d57
CVE-2017-16534,torvalds,linux,2e1c42391ff2556387b3cb6308b24f6f65619feb
CVE-2017-16643,torvalds,linux,a50829479f58416a013a4ccca791336af3c584c7
CVE-2017-17439,heimdal,heimdal,1a6a6e462dc2ac6111f9e02c6852ddec4849b887
CVE-2017-18079,torvalds,linux,340d394a789518018f834ff70f7534fc463d3226
CVE-2017-18255,torvalds,linux,1572e45a924f254d9570093abde46430c3172e3d
CVE-2017-18270,torvalds,linux,237bbd29f7a049d310d907f4b2716a7feef9abf3
CVE-2017-18922,LibVNC,libvncserver,aac95a9dcf4bbba87b76c72706c3221a842ca433
CVE-2017-2630,qemu,qemu,2563c9c6b8670400c48e562034b321a7cf3d9a85
CVE-2017-5226,projectatomic,bubblewrap,d7fc532c42f0e9bf427923bab85433282b3e5117
CVE-2017-5509,ImageMagick,ImageMagick,d4ec73f866a7c42a2e7f301fcd696e5cb7a7d3ab
CVE-2017-5970,torvalds,linux,34b2cef20f19c87999fff3da4071e66937db9644
CVE-2017-6194,radare,radare2,72794dc3523bbd5bb370de3c5857cb736c387e18
CVE-2017-6214,torvalds,linux,ccf7abb93af09ad0868ae9033d1ca8108bdaec82
CVE-2017-6347,torvalds,linux,ca4ef4574f1ee5252e2cd365f8f5d5bafd048f32
CVE-2017-6348,torvalds,linux,4c03b862b12f980456f9de92db6d508a4999b788
CVE-2017-6349,vim,vim,3eb1637b1bba19519885dd6d377bd5596e91d22c
CVE-2017-6429,appneta,tcpreplay,d689d14dbcd768c028eab2fb378d849e543dcfe9
CVE-2017-6439,libimobiledevice,libplist,32ee5213fe64f1e10ec76c1ee861ee6f233120dd
CVE-2017-6503,qbittorrent,qBittorrent,6ca3e4f094da0a0017cb2d483ec1db6176bb0b16
CVE-2017-6886,LibRaw,LibRaw,d7c3d2cb460be10a3ea7b32e9443a83c243b2251
CVE-2017-6889,LibRaw,LibRaw-demosaic-pack-GPL2,194f592e205990ea8fce72b6c571c14350aca716
CVE-2017-7472,torvalds,linux,c9f838d104fed6f2f61d68164712e3204bf5271b
CVE-2017-7585,erikd,libsndfile,60b234301adf258786d8b90be5c1d437fc8799e0
CVE-2017-7741,erikd,libsndfile,60b234301adf258786d8b90be5c1d437fc8799e0
CVE-2017-7862,FFmpeg,FFmpeg,8c2ea3030af7b40a3c4275696fb5c76cdb80950a
CVE-2017-8069,torvalds,linux,7926aff5c57b577ab0f43364ff0c59d968f6a414
CVE-2017-8831,stoth68000,media-tree,354dd3924a2e43806774953de536257548b5002c
CVE-2017-8890,torvalds,linux,657831ffc38e30092a2d5f03d385d710eb88b09a
CVE-2017-9142,ImageMagick,ImageMagick,f0232a2a45dfd003c1faf6079497895df3ab0ee1
CVE-2017-9201,jsummers,imageworsener,dc49c807926b96e503bd7c0dec35119eecd6c6fe
CVE-2017-9207,jsummers,imageworsener,b45cb1b665a14b0175b9cb1502ef7168e1fe0d5d
CVE-2017-9438,VirusTotal,yara,10e8bd3071677dd1fa76beeef4bc2fc427cea5e7
CVE-2018-0500,curl,curl,ba1dbd78e5f1ed67c1b8d37ac89d90e5e330b628
CVE-2018-1000041,ImageMagick,librsvg,f9d69eadd2b16b00d1a1f9f286122123f8e547dd
CVE-2018-1000127,memcached,memcached,a8c4a82787b8b6c256d61bd5c42fb7f92d1bae00
CVE-2018-10756,transmission,transmission,2123adf8e5e1c2b48791f9d22fc8c747e974180e
CVE-2018-10887,libgit2,libgit2,c1577110467b701dcbcf9439ac225ea851b47d22
CVE-2018-11382,radare,radare2,d04c78773f6959bcb427453f8e5b9824d5ba9eff
CVE-2018-11594,espruino,Espruino,c36d30529118aa049797db43f111ddad468aad29
CVE-2018-12249,mruby,mruby,faa4eaf6803bd11669bc324b4c34e7162286bfa3
CVE-2018-12320,radare,radare2,90b71c017a7fa9732fe45fd21b245ee051b1f548
CVE-2018-13300,FFmpeg,FFmpeg,e6d3fd942f772f54ab6a5ca619cdaadef26b7702
CVE-2018-13301,FFmpeg,FFmpeg,2aa9047486dbff12d9e040f917e5f799ed2fd78b
CVE-2018-13305,FFmpeg,FFmpeg,d08d4a8c7387e758d439b0592782e4cfa2b4d6a4
CVE-2018-13785,glennrp,libpng,8a05766cb74af05c04c53e6c9d60c13fc4d59bf2
CVE-2018-14043,Monetra,mstdlib,db124b8f607dd0a40a9aef2d4d468fad433522a7
CVE-2018-14361,neomutt,neomutt,9e927affe3a021175f354af5fa01d22657c20585
CVE-2018-15501,libgit2,libgit2,1f9a8510e1d2f20ed7334eeeddb92c4dd8e7c649
CVE-2018-15572,torvalds,linux,fdf82a7856b32d905c39afc85e34364491e46346
CVE-2018-15594,torvalds,linux,5800dc5c19f34e6e03b5adab1282535cb102fafd
CVE-2018-15853,xkbcommon,libxkbcommon,1f9d1248c07cda8aaff762429c0dce146de8632a
CVE-2018-15855,xkbcommon,libxkbcommon,917636b1d0d70205a13f89062b95e3a0fc31d4ff
CVE-2018-15862,xkbcommon,libxkbcommon,4e2ee9c3f6050d773f8bbe05bc0edb17f1ff8371
CVE-2018-16150,igrr,axtls-8266,5efe2947ab45e81d84b5f707c51d1c64be52f36c
CVE-2018-16419,OpenSC,OpenSC,360e95d45ac4123255a4c796db96337f332160ad
CVE-2018-16421,OpenSC,OpenSC,360e95d45ac4123255a4c796db96337f332160ad
CVE-2018-17568,viabtc,viabtc_exchange_server,4a7c27bfe98f409623d4d857894d017ff0672cc9
CVE-2018-20174,rdesktop,rdesktop,4dca546d04321a610c1835010b5dad85163b65e1
CVE-2018-20176,rdesktop,rdesktop,4dca546d04321a610c1835010b5dad85163b65e1
CVE-2018-20177,rdesktop,rdesktop,4dca546d04321a610c1835010b5dad85163b65e1
CVE-2018-8798,rdesktop,rdesktop,4dca546d04321a610c1835010b5dad85163b65e1
CVE-2018-20511,torvalds,linux,9824dfae5741275473a23a7ed5756c7b6efacc9d
CVE-2018-20748,LibVNC,libvncserver,e34bcbb759ca5bef85809967a268fdf214c1ad2c
CVE-2018-20763,gpac,gpac,1c449a34fe0b50aaffb881bfb9d7c5ab0bb18cdd
CVE-2018-20784,torvalds,linux,c40f7d74c741a907cfaeb73a7697081881c497d0
CVE-2018-5332,torvalds,linux,c095508770aebf1b9218e77026e48345d719b17c
CVE-2018-6337,facebook,folly,8e927ee48b114c8a2f90d0cbd5ac753795a6761f
CVE-2018-7998,jcupitt,libvips,20d840e6da15c1574b3ed998bc92f91d1e36c2a5
CVE-2018-9275,Yubico,yubico-pam,0f6ceabab0a8849b47f67d727aa526c2656089ba
CVE-2018-9989,ARMmbed,mbedtls,740b218386083dc708ce98ccc94a63a95cd5629e
CVE-2019-1010247,zmartzone,mod_auth_openidc,132a4111bf3791e76437619a66336dce2ce4c79b
CVE-2019-1020014,docker,docker-credential-helpers,1c9f7ede70a5ab9851f4c9cb37d317fd89cd318a
CVE-2019-11937,facebook,mcrouter,97e033b3bb0cb16b61bf49f0dc7f311a3e0edd1b
CVE-2019-12098,heimdal,heimdal,2f7f3d9960aa6ea21358bdf3687cee5149aa35cf
CVE-2019-12951,cesanta,mongoose,b3e0f780c34cea88f057a62213c012aa88fe2deb
CVE-2019-12981,libming,libming,6e76e8c71cb51c8ba0aa9737a636b9ac3029887f
CVE-2019-12982,libming,libming,da9d86eab55cbf608d5c916b8b690f5b76bca462
CVE-2019-13135,ImageMagick,ImageMagick,cdb383749ef7b68a38891440af8cc23e0115306d
CVE-2019-13136,ImageMagick,ImageMagick,fe5f4b85e6b1b54d3b4588a77133c06ade46d891
CVE-2019-13221,nothings,stb,98fdfc6df88b1e34a736d5e126e6c8139c8de1a6
CVE-2019-13224,kkos,oniguruma,0f7f61ed1b7b697e283e37bd2d731d0bd57adb55
CVE-2019-13227,linuxdeepin,deepin-clone,e079f3e2712b4f8c28e3e63e71ba1a1f90fce1ab
CVE-2019-13298,ImageMagick,ImageMagick,d4fc44b58a14f76b1ac997517d742ee12c9dc5d3
CVE-2019-13300,ImageMagick,ImageMagick,a906fe9298bf89e01d5272023db687935068849a
CVE-2019-14814,torvalds,linux,7caac62ed598a196d6ddf8d9c121e12e082cac3a
CVE-2019-15900,slicer69,doas,2f83222829448e5bc4c9391d607ec265a1e06531
CVE-2019-15924,torvalds,linux,01ca667133d019edc9f0a1f70a272447c84ec41f
CVE-2019-16163,kkos,oniguruma,4097828d7cc87589864fecf452f2cd46c5f37180
CVE-2019-16714,torvalds,linux,7d0a06586b2686ba80c4a2da5f91cb10ffbea736
CVE-2019-17547,ImageMagick,ImageMagick,ecf7c6b288e11e7e7f75387c5e9e93e423b98397
CVE-2019-18625,OISF,suricata,ea0659de7640cf6a51de5bbd1dbbb0414e4623a0
CVE-2019-18671,keepkey,keepkey-firmware,b222c66cdd7c3203d917c80ba615082d309d80c3
CVE-2019-18680,torvalds,linux,91573ae4aed0a49660abdad4d42f2a0db995ee5e
CVE-2019-18812,torvalds,linux,c0a333d842ef67ac04adc72ff79dc1ccc3dca4ed
CVE-2019-19044,torvalds,linux,29cd13cfd7624726d9e6becbae9aa419ef35af7f
CVE-2019-19053,torvalds,linux,bbe692e349e2a1edf3fe0a29a0e05899c9c94d51
CVE-2019-19058,torvalds,linux,b4b814fec1a5a849383f7b3886b654a13abbda7d
CVE-2019-19060,torvalds,linux,ab612b1daf415b62c58e130cb3d0f30b255a14d0
CVE-2019-19061,torvalds,linux,9c0530e898f384c5d279bfcebd8bb17af1105873
CVE-2019-19071,torvalds,linux,d563131ef23cbc756026f839a82598c8445bc45f
CVE-2019-19072,torvalds,linux,96c5c6e6a5b6db592acae039fed54b5c8844cd35
CVE-2019-19074,torvalds,linux,728c1e2a05e4b5fc52fab3421dce772a806612a2
CVE-2019-19646,sqlite,sqlite,ebd70eedd5d6e6a890a670b5ee874a5eae86b4dd
CVE-2019-19923,sqlite,sqlite,396afe6f6aa90a31303c183e11b2b2d4b7956b35
CVE-2019-19927,torvalds,linux,ac1e516d5a4c56bf0cb4a3dfc0672f689131cfd4
CVE-2019-19960,wolfSSL,wolfssl,5ee9f9c7a23f8ed093fe1e42bc540727e96cebb8
CVE-2019-20391,CESNET,libyang,bdb596ddc07596fa212f231135b87d0b9178f6f8
CVE-2019-20792,OpenSC,OpenSC,c246f6f69a749d4f68626b40795a4f69168008f4
CVE-2019-20839,LibVNC,libvncserver,3fd03977c9b35800d73a865f167338cb4d05b0c1
CVE-2019-20918,inspircd,inspircd,7b47de3c194f239c5fea09a0e49696c9af017d51
CVE-2019-3558,facebook,fbthrift,c5d6e07588cd03061bc54d451a7fa6e84883d62b
CVE-2019-3877,Uninett,mod_auth_mellon,62041428a32de402e0be6ba45fe12df6a83bedb8
CVE-2019-8460,openbsd,src,ed8fdce754a5d8d14c09e989d8877707bd43906f
CVE-2020-11095,FreeRDP,FreeRDP,733ee3208306b1ea32697b356c0215180fc3f049
CVE-2020-11724,openresty,lua-nginx-module,9ab38e8ee35fc08a57636b1b6190dca70b0076fa
CVE-2020-12268,ArtifexSoftware,jbig2dec,0726320a4b55078e9d8deb590e477d598b3da66e
CVE-2020-12278,libgit2,libgit2,e1832eb20a7089f6383cfce474f213157f5300cb
CVE-2020-12284,FFmpeg,FFmpeg,a3a3730b5456ca00587455004d40c047f7b20a99
CVE-2020-12657,torvalds,linux,2f95fa5c955d0a9987ffdc3a095e2f4e62c5f2a9
CVE-2020-14400,LibVNC,libvncserver,53073c8d7e232151ea2ecd8a1243124121e10e2d
CVE-2020-14401,LibVNC,libvncserver,a6788d1da719ae006605b78d22f5a9f170b423af
CVE-2020-14404,LibVNC,libvncserver,74e8a70f2c9a5248d6718ce443e07c7ed314dfff
CVE-2020-15193,tensorflow,tensorflow,22e07fb204386768e5bcbea563641ea11f96ceb8
CVE-2020-15197,tensorflow,tensorflow,3cbb917b4714766030b28eba9fb41bb97ce9ee02
CVE-2020-15214,tensorflow,tensorflow,204945b19e44b57906c9344c0d00120eeeae178a
CVE-2020-1893,facebook,hhvm,bd586671a3c22eb2f07e55f11b3ce64e1f7961e7
CVE-2020-19497,tbeu,matio,5fa49ef9fc4368fe3d19b5fdaa36d8fa5e7f4606
CVE-2020-20276,troglobit,uftpd,0fb2c031ce0ace07cc19cd2cb2143c4b5a63c9dd
CVE-2020-26243,nanopb,nanopb,4fe23595732b6f1254cfc11a9b8d6da900b55b0c
CVE-2020-27787,upx,upx,e2f60adc95334f47e286838dac33160819c5d74d
CVE-2020-28097,torvalds,linux,973c096f6a85e5b5f2a295126ba6928d9a6afd45
CVE-2020-29260,LibVNC,libvncserver,bef41f6ec4097a8ee094f90a1b34a708fbd757ec
CVE-2020-8904,google,asylo,e582f36ac49ee11a21d23ad6a30c333092e0a94e
CVE-2020-8905,google,asylo,299f804acbb95a612ab7c504d25ab908aa59ae93
CVE-2021-21378,envoyproxy,envoy,ea39e3cba652bcc4b11bb0d5c62b017e584d2e5a
CVE-2021-21401,nanopb,nanopb,e2f0ccf939d9f82931d085acb6df8e9a182a4261
CVE-2021-24028,facebook,fbthrift,bfda1efa547dce11a38592820916db01b05b9339
CVE-2021-29529,tensorflow,tensorflow,f851613f8f0fb0c838d160ced13c134f778e3ce7
CVE-2021-29540,tensorflow,tensorflow,c570e2ecfc822941335ad48f6e10df4e21f11c96
CVE-2021-29545,tensorflow,tensorflow,1e922ccdf6bf46a3a52641f99fd47d54c1decd13
CVE-2021-29566,tensorflow,tensorflow,3f6fe4dfef6f57e768260b48166c27d148f3015f
CVE-2021-29569,tensorflow,tensorflow,ef0c008ee84bad91ec6725ddc42091e19a30cf0e
CVE-2021-29583,tensorflow,tensorflow,6972f9dfe325636b3db4e0bc517ee22a159365c0
CVE-2021-29588,tensorflow,tensorflow,801c1c6be5324219689c98e1bd3e0ca365ee834d
CVE-2021-29603,tensorflow,tensorflow,c59c37e7b2d563967da813fa50fe20b21f4da683
CVE-2021-29605,tensorflow,tensorflow,7c8cc4ec69cd348e44ad6a2699057ca88faad3e5
CVE-2021-29619,tensorflow,tensorflow,82e6203221865de4008445b13c69b6826d2b28d9
CVE-2021-30199,gpac,gpac,b2db2f99b4c30f96e17b9a14537c776da6cb5dca
CVE-2021-31916,torvalds,linux,4edbe1d7bcffcd6269f3b5eb63f710393ff2ec7a
CVE-2021-32134,gpac,gpac,328c6d682698fdb9878dbb4f282963d42c538c01
CVE-2021-32137,gpac,gpac,328def7d3b93847d64ecb6e9e0399684e57c3eca
CVE-2021-32138,gpac,gpac,289ffce3e0d224d314f5f92a744d5fe35999f20b
CVE-2021-32435,leesavide,abcm2ps,3169ace6d63f6f517a64e8df0298f44a490c4a15
CVE-2021-32786,zmartzone,mod_auth_openidc,3a115484eb927bc6daa5737dd84f88ff4bbc5544
CVE-2021-33364,gpac,gpac,fe5155cf047252d1c4cb91602048bfa682af0ea7
CVE-2021-33366,gpac,gpac,0a85029d694f992f3631e2f249e4999daee15cbf
